,Unnamed: 0,record_no,symbol,exchange,date,period,strike,out-of-the-money %,Call/Put,IV,delta
78,78,79,C,NYSE,2019-12-31,30,79.89,0,C,0.209365,0.521818
79,79,80,C,NYSE,2019-12-31,30,79.89,0,P,0.234621,-0.479998
80,80,81,C,NYSE,2019-12-31,30,83.8845,5,C,0.199736,0.212576
81,81,82,C,NYSE,2019-12-31,30,75.8955,5,P,0.241806,-0.21348
82,82,83,C,NYSE,2019-12-31,30,87.879,10,C,0.191832,0.046619
83,83,84,C,NYSE,2019-12-31,30,71.901,10,P,0.292445,-0.093917
84,84,85,C,NYSE,2019-12-31,30,91.8735,15,C,0.19224,0.006543
85,85,86,C,NYSE,2019-12-31,30,67.9065,15,P,0.305176,-0.02754
86,86,87,C,NYSE,2019-12-31,30,95.868004,20,C,0.19224,0.00057
87,87,88,C,NYSE,2019-12-31,30,63.912,20,P,0.305176,-0.004512
88,88,89,C,NYSE,2019-12-31,30,99.8625,25,C,0.19224,3.2e-05
89,89,90,C,NYSE,2019-12-31,30,59.9175,25,P,0.305176,-0.000406
90,90,91,C,NYSE,2019-12-31,30,103.856995,30,C,0.19224,1e-06
91,91,92,C,NYSE,2019-12-31,30,55.923,30,P,0.305176,-1.8e-05
92,92,93,C,NYSE,2019-12-31,30,107.8515,35,C,0.19224,0.0
93,93,94,C,NYSE,2019-12-31,30,51.928497,35,P,0.308993,-0.0
94,94,95,C,NYSE,2019-12-31,30,111.846,40,C,0.19224,0.0
95,95,96,C,NYSE,2019-12-31,30,47.934002,40,P,0.308993,-0.0
96,96,97,C,NYSE,2019-12-31,30,115.8405,45,C,0.19224,0.0
97,97,98,C,NYSE,2019-12-31,30,43.9395,45,P,0.308993,-0.0
98,98,99,C,NYSE,2019-12-31,30,119.835,50,C,0.19224,0.0
99,99,100,C,NYSE,2019-12-31,30,39.945,50,P,0.308993,-0.0
100,100,101,C,NYSE,2019-12-31,30,123.8295,55,C,0.19224,0.0
101,101,102,C,NYSE,2019-12-31,30,35.9505,55,P,0.308993,-0.0
102,102,103,C,NYSE,2019-12-31,30,127.824,60,C,0.19224,0.0
103,103,104,C,NYSE,2019-12-31,30,31.955997,60,P,0.308993,0.0
104,104,105,C,NYSE,2019-12-31,60,79.89,0,C,0.215004,0.512801
105,105,106,C,NYSE,2019-12-31,60,79.89,0,P,0.214456,-0.502008
106,106,107,C,NYSE,2019-12-31,60,83.8845,5,C,0.201366,0.277296
107,107,108,C,NYSE,2019-12-31,60,75.8955,5,P,0.234631,-0.292144
108,108,109,C,NYSE,2019-12-31,60,87.879,10,C,0.194766,0.113196
109,109,110,C,NYSE,2019-12-31,60,71.901,10,P,0.259461,-0.153648
110,110,111,C,NYSE,2019-12-31,60,91.8735,15,C,0.195569,0.03878
111,111,112,C,NYSE,2019-12-31,60,67.9065,15,P,0.288484,-0.077714
112,112,113,C,NYSE,2019-12-31,60,95.868004,20,C,0.197088,0.011203
113,113,114,C,NYSE,2019-12-31,60,63.912,20,P,0.323395,-0.040756
114,114,115,C,NYSE,2019-12-31,60,99.8625,25,C,0.197088,0.002601
115,115,116,C,NYSE,2019-12-31,60,59.9175,25,P,0.359454,-0.021487
