,Unnamed: 0,record_no,symbol,exchange,date,period,strike,out-of-the-money %,Call/Put,IV,delta
78,78,79,KO,NYSE,2019-12-31,30,55.35,0,C,0.120403,0.52401
79,79,80,KO,NYSE,2019-12-31,30,55.35,0,P,0.120812,-0.480863
80,80,81,KO,NYSE,2019-12-31,30,58.117496,5,C,0.114167,0.076504
81,81,82,KO,NYSE,2019-12-31,30,52.582497,5,P,0.152225,-0.109229
82,82,83,KO,NYSE,2019-12-31,30,60.885,10,C,0.114167,0.002184
83,83,84,KO,NYSE,2019-12-31,30,49.815,10,P,0.176019,-0.016077
84,84,85,KO,NYSE,2019-12-31,30,63.652496,15,C,0.114346,1.3e-05
85,85,86,KO,NYSE,2019-12-31,30,47.0475,15,P,0.176019,-0.000528
86,86,87,KO,NYSE,2019-12-31,30,66.42,20,C,0.114346,0.0
87,87,88,KO,NYSE,2019-12-31,30,44.28,20,P,0.179345,-6e-06
88,88,89,KO,NYSE,2019-12-31,30,69.1875,25,C,0.114346,0.0
89,89,90,KO,NYSE,2019-12-31,30,41.512497,25,P,0.179345,-0.0
90,90,91,KO,NYSE,2019-12-31,30,71.954994,30,C,0.114346,0.0
91,91,92,KO,NYSE,2019-12-31,30,38.745,30,P,0.179345,-0.0
92,92,93,KO,NYSE,2019-12-31,30,74.722496,35,C,0.114346,0.0
93,93,94,KO,NYSE,2019-12-31,30,35.977497,35,P,0.179345,-0.0
94,94,95,KO,NYSE,2019-12-31,30,77.49,40,C,0.114346,0.0
95,95,96,KO,NYSE,2019-12-31,30,33.21,40,P,0.179345,-0.0
96,96,97,KO,NYSE,2019-12-31,30,80.2575,45,C,0.114346,0.0
97,97,98,KO,NYSE,2019-12-31,30,30.4425,45,P,0.179345,0.0
98,98,99,KO,NYSE,2019-12-31,30,83.024994,50,C,0.114346,0.0
99,99,100,KO,NYSE,2019-12-31,30,27.675,50,P,0.179345,0.0
100,100,101,KO,NYSE,2019-12-31,30,85.792496,55,C,0.114346,0.0
101,101,102,KO,NYSE,2019-12-31,30,24.9075,55,P,0.179345,0.0
102,102,103,KO,NYSE,2019-12-31,30,88.56,60,C,0.114346,0.0
103,103,104,KO,NYSE,2019-12-31,30,22.139997,60,P,0.179345,0.0
104,104,105,KO,NYSE,2019-12-31,60,55.35,0,C,0.152434,0.531749
105,105,106,KO,NYSE,2019-12-31,60,55.35,0,P,0.148943,-0.516063
106,106,107,KO,NYSE,2019-12-31,60,58.117496,5,C,0.140425,0.214472
107,107,108,KO,NYSE,2019-12-31,60,52.582497,5,P,0.170702,-0.237331
108,108,109,KO,NYSE,2019-12-31,60,60.885,10,C,0.138038,0.049048
109,109,110,KO,NYSE,2019-12-31,60,49.815,10,P,0.202047,-0.100942
110,110,111,KO,NYSE,2019-12-31,60,63.652496,15,C,0.138038,0.006734
111,111,112,KO,NYSE,2019-12-31,60,47.0475,15,P,0.238685,-0.046027
112,112,113,KO,NYSE,2019-12-31,60,66.42,20,C,0.138038,0.000551
113,113,114,KO,NYSE,2019-12-31,60,44.28,20,P,0.279818,-0.02347
114,114,115,KO,NYSE,2019-12-31,60,69.1875,25,C,0.138038,2.7e-05
115,115,116,KO,NYSE,2019-12-31,60,41.512497,25,P,0.315908,-0.011377
116,116,117,KO,NYSE,2019-12-31,60,71.954994,30,C,0.138038,1e-06
117,117,118,KO,NYSE,2019-12-31,60,38.745,30,P,0.322768,-0.002898
118,118,119,KO,NYSE,2019-12-31,60,74.722496,35,C,0.138038,0.0
119,119,120,KO,NYSE,2019-12-31,60,35.977497,35,P,0.322768,-0.000441
120,120,121,KO,NYSE,2019-12-31,60,77.49,40,C,0.138038,0.0
121,121,122,KO,NYSE,2019-12-31,60,33.21,40,P,0.322768,-4.1e-05
122,122,123,KO,NYSE,2019-12-31,60,80.2575,45,C,0.138038,0.0
123,123,124,KO,NYSE,2019-12-31,60,30.4425,45,P,0.322768,-2e-06
124,124,125,KO,NYSE,2019-12-31,60,83.024994,50,C,0.138038,0.0
125,125,126,KO,NYSE,2019-12-31,60,27.675,50,P,0.322768,-0.0
126,126,127,KO,NYSE,2019-12-31,60,85.792496,55,C,0.138038,0.0
127,127,128,KO,NYSE,2019-12-31,60,24.9075,55,P,0.322768,-0.0
128,128,129,KO,NYSE,2019-12-31,60,88.56,60,C,0.138038,0.0
129,129,130,KO,NYSE,2019-12-31,60,22.139997,60,P,0.322768,-0.0
130,130,131,KO,NYSE,2019-12-31,90,55.35,0,C,0.154281,0.524128
131,131,132,KO,NYSE,2019-12-31,90,55.35,0,P,0.147179,-0.506015
132,132,133,KO,NYSE,2019-12-31,90,58.117496,5,C,0.141366,0.250335
133,133,134,KO,NYSE,2019-12-31,90,52.582497,5,P,0.165407,-0.265218
134,134,135,KO,NYSE,2019-12-31,90,60.885,10,C,0.137355,0.081069
135,135,136,KO,NYSE,2019-12-31,90,49.815,10,P,0.189941,-0.128277
136,136,137,KO,NYSE,2019-12-31,90,63.652496,15,C,0.136243,0.019296
137,137,138,KO,NYSE,2019-12-31,90,47.0475,15,P,0.222532,-0.066335
138,138,139,KO,NYSE,2019-12-31,90,66.42,20,C,0.136205,0.003484
139,139,140,KO,NYSE,2019-12-31,90,44.28,20,P,0.255475,-0.035698
140,140,141,KO,NYSE,2019-12-31,90,69.1875,25,C,0.136205,0.00048
141,141,142,KO,NYSE,2019-12-31,90,41.512497,25,P,0.289296,-0.019831
142,142,143,KO,NYSE,2019-12-31,90,71.954994,30,C,0.136205,5.2e-05
143,143,144,KO,NYSE,2019-12-31,90,38.745,30,P,0.311878,-0.009025
144,144,145,KO,NYSE,2019-12-31,90,74.722496,35,C,0.136205,5e-06
145,145,146,KO,NYSE,2019-12-31,90,35.977497,35,P,0.321478,-0.002864
146,146,147,KO,NYSE,2019-12-31,90,77.49,40,C,0.136205,0.0
147,147,148,KO,NYSE,2019-12-31,90,33.21,40,P,0.325044,-0.000618
148,148,149,KO,NYSE,2019-12-31,90,80.2575,45,C,0.136205,0.0
149,149,150,KO,NYSE,2019-12-31,90,30.4425,45,P,0.325044,-8.2e-05
150,150,151,KO,NYSE,2019-12-31,90,83.024994,50,C,0.136205,0.0
151,151,152,KO,NYSE,2019-12-31,90,27.675,50,P,0.325044,-7e-06
152,152,153,KO,NYSE,2019-12-31,90,85.792496,55,C,0.136205,0.0
153,153,154,KO,NYSE,2019-12-31,90,24.9075,55,P,0.325044,-0.0
154,154,155,KO,NYSE,2019-12-31,90,88.56,60,C,0.136205,0.0
155,155,156,KO,NYSE,2019-12-31,90,22.139997,60,P,0.325044,-0.0
416,416,417,KO,NYSE,2019-12-30,30,55.27,0,C,0.122539,0.524008
417,417,418,KO,NYSE,2019-12-30,30,55.27,0,P,0.120614,-0.480741
418,418,419,KO,NYSE,2019-12-30,30,58.033497,5,C,0.116586,0.081028
419,419,420,KO,NYSE,2019-12-30,30,52.5065,5,P,0.15318,-0.110593
420,420,421,KO,NYSE,2019-12-30,30,60.797,10,C,0.118141,0.002954
421,421,422,KO,NYSE,2019-12-30,30,49.743,10,P,0.18457,-0.020382
422,422,423,KO,NYSE,2019-12-30,30,63.5605,15,C,0.119858,3.1e-05
423,423,424,KO,NYSE,2019-12-30,30,46.9795,15,P,0.18457,-0.000886
424,424,425,KO,NYSE,2019-12-30,30,66.324005,20,C,0.119858,0.0
425,425,426,KO,NYSE,2019-12-30,30,44.216,20,P,0.187706,-1.3e-05
426,426,427,KO,NYSE,2019-12-30,30,69.0875,25,C,0.119858,0.0
427,427,428,KO,NYSE,2019-12-30,30,41.4525,25,P,0.187706,-0.0
428,428,429,KO,NYSE,2019-12-30,30,71.851,30,C,0.119858,0.0
429,429,430,KO,NYSE,2019-12-30,30,38.689,30,P,0.187706,-0.0
430,430,431,KO,NYSE,2019-12-30,30,74.6145,35,C,0.119858,0.0
431,431,432,KO,NYSE,2019-12-30,30,35.9255,35,P,0.187706,-0.0
432,432,433,KO,NYSE,2019-12-30,30,77.378,40,C,0.119858,0.0
433,433,434,KO,NYSE,2019-12-30,30,33.162003,40,P,0.187706,-0.0
434,434,435,KO,NYSE,2019-12-30,30,80.1415,45,C,0.119858,0.0
435,435,436,KO,NYSE,2019-12-30,30,30.3985,45,P,0.187706,0.0
436,436,437,KO,NYSE,2019-12-30,30,82.905,50,C,0.119858,0.0
