,Unnamed: 0,record_no,symbol,exchange,date,period,strike,out-of-the-money %,Call/Put,IV,delta
78,78,79,PG,NYSE,2019-12-31,30,124.9,0,C,0.193089,0.502907
79,79,80,PG,NYSE,2019-12-31,30,124.9,0,P,0.197247,-0.523435
80,80,81,PG,NYSE,2019-12-31,30,131.14499,5,C,0.178662,0.157301
81,81,82,PG,NYSE,2019-12-31,30,118.655,5,P,0.224282,-0.224039
82,82,83,PG,NYSE,2019-12-31,30,137.39,10,C,0.176148,0.025515
83,83,84,PG,NYSE,2019-12-31,30,112.409996,10,P,0.263643,-0.085004
84,84,85,PG,NYSE,2019-12-31,30,143.635,15,C,0.176148,0.002317
85,85,86,PG,NYSE,2019-12-31,30,106.165,15,P,0.282028,-0.023035
86,86,87,PG,NYSE,2019-12-31,30,149.88,20,C,0.172686,8.9e-05
87,87,88,PG,NYSE,2019-12-31,30,99.920006,20,P,0.281647,-0.002997
88,88,89,PG,NYSE,2019-12-31,30,156.125,25,C,0.172686,2e-06
89,89,90,PG,NYSE,2019-12-31,30,93.675,25,P,0.281647,-0.000195
90,90,91,PG,NYSE,2019-12-31,30,162.37,30,C,0.172686,0.0
91,91,92,PG,NYSE,2019-12-31,30,87.43,30,P,0.281647,-5e-06
92,92,93,PG,NYSE,2019-12-31,30,168.615,35,C,0.172686,0.0
93,93,94,PG,NYSE,2019-12-31,30,81.185,35,P,0.281647,-0.0
94,94,95,PG,NYSE,2019-12-31,30,174.86,40,C,0.172686,0.0
95,95,96,PG,NYSE,2019-12-31,30,74.94,40,P,0.281647,-0.0
96,96,97,PG,NYSE,2019-12-31,30,181.10501,45,C,0.172686,0.0
97,97,98,PG,NYSE,2019-12-31,30,68.695,45,P,0.281647,-0.0
98,98,99,PG,NYSE,2019-12-31,30,187.35,50,C,0.172686,0.0
99,99,100,PG,NYSE,2019-12-31,30,62.45,50,P,0.281647,-0.0
100,100,101,PG,NYSE,2019-12-31,30,193.595,55,C,0.172686,0.0
101,101,102,PG,NYSE,2019-12-31,30,56.204998,55,P,0.281647,-0.0
102,102,103,PG,NYSE,2019-12-31,30,199.84001,60,C,0.172686,0.0
103,103,104,PG,NYSE,2019-12-31,30,49.96,60,P,0.281647,0.0
104,104,105,PG,NYSE,2019-12-31,60,124.9,0,C,0.177565,0.499556
105,105,106,PG,NYSE,2019-12-31,60,124.9,0,P,0.180186,-0.506786
106,106,107,PG,NYSE,2019-12-31,60,131.14499,5,C,0.160498,0.222649
107,107,108,PG,NYSE,2019-12-31,60,118.655,5,P,0.20294,-0.266331
108,108,109,PG,NYSE,2019-12-31,60,137.39,10,C,0.153095,0.060381
109,109,110,PG,NYSE,2019-12-31,60,112.409996,10,P,0.230983,-0.127343
110,110,111,PG,NYSE,2019-12-31,60,143.635,15,C,0.152272,0.011295
111,111,112,PG,NYSE,2019-12-31,60,106.165,15,P,0.262665,-0.060199
112,112,113,PG,NYSE,2019-12-31,60,149.88,20,C,0.152272,0.001491
113,113,114,PG,NYSE,2019-12-31,60,99.920006,20,P,0.29555,-0.028868
114,114,115,PG,NYSE,2019-12-31,60,156.125,25,C,0.152272,0.000141
115,115,116,PG,NYSE,2019-12-31,60,93.675,25,P,0.324736,-0.012919
116,116,117,PG,NYSE,2019-12-31,60,162.37,30,C,0.152272,1e-05
117,117,118,PG,NYSE,2019-12-31,60,87.43,30,P,0.330805,-0.00342
118,118,119,PG,NYSE,2019-12-31,60,168.615,35,C,0.152272,1e-06
119,119,120,PG,NYSE,2019-12-31,60,81.185,35,P,0.330805,-0.000563
120,120,121,PG,NYSE,2019-12-31,60,174.86,40,C,0.152272,0.0
121,121,122,PG,NYSE,2019-12-31,60,74.94,40,P,0.330805,-5.8e-05
122,122,123,PG,NYSE,2019-12-31,60,181.10501,45,C,0.152272,0.0
123,123,124,PG,NYSE,2019-12-31,60,68.695,45,P,0.330805,-3e-06
124,124,125,PG,NYSE,2019-12-31,60,187.35,50,C,0.152272,0.0
125,125,126,PG,NYSE,2019-12-31,60,62.45,50,P,0.330805,-0.0
126,126,127,PG,NYSE,2019-12-31,60,193.595,55,C,0.152272,0.0
127,127,128,PG,NYSE,2019-12-31,60,56.204998,55,P,0.330805,-0.0
128,128,129,PG,NYSE,2019-12-31,60,199.84001,60,C,0.152272,0.0
129,129,130,PG,NYSE,2019-12-31,60,49.96,60,P,0.330805,-0.0
130,130,131,PG,NYSE,2019-12-31,90,124.9,0,C,0.174301,0.511492
131,131,132,PG,NYSE,2019-12-31,90,124.9,0,P,0.171179,-0.496422
132,132,133,PG,NYSE,2019-12-31,90,131.14499,5,C,0.157798,0.274555
133,133,134,PG,NYSE,2019-12-31,90,118.655,5,P,0.190758,-0.285075
134,134,135,PG,NYSE,2019-12-31,90,137.39,10,C,0.148996,0.102444
135,135,136,PG,NYSE,2019-12-31,90,112.409996,10,P,0.213685,-0.151257
136,136,137,PG,NYSE,2019-12-31,90,143.635,15,C,0.146954,0.02901
137,137,138,PG,NYSE,2019-12-31,90,106.165,15,P,0.239256,-0.078167
