,Unnamed: 0,record_no,symbol,exchange,date,period,strike,out-of-the-money %,Call/Put,IV,delta
78,78,79,V,NYSE,2019-12-31,30,187.9,0,C,0.20669,0.521793
79,79,80,V,NYSE,2019-12-31,30,187.9,0,P,0.173042,-0.481335
80,80,81,V,NYSE,2019-12-31,30,197.29498,5,C,0.158764,0.154675
81,81,82,V,NYSE,2019-12-31,30,178.50499,5,P,0.216229,-0.18919
82,82,83,V,NYSE,2019-12-31,30,206.69,10,C,0.158736,0.020725
83,83,84,V,NYSE,2019-12-31,30,169.10999,10,P,0.248403,-0.062281
84,84,85,V,NYSE,2019-12-31,30,216.08499,15,C,0.158736,0.001282
85,85,86,V,NYSE,2019-12-31,30,159.715,15,P,0.248403,-0.00968
86,86,87,V,NYSE,2019-12-31,30,225.48,20,C,0.159888,4.4e-05
87,87,88,V,NYSE,2019-12-31,30,150.31999,20,P,0.248403,-0.000712
88,88,89,V,NYSE,2019-12-31,30,234.875,25,C,0.159888,1e-06
89,89,90,V,NYSE,2019-12-31,30,140.92499,25,P,0.248403,-2.1e-05
90,90,91,V,NYSE,2019-12-31,30,244.26999,30,C,0.159888,0.0
91,91,92,V,NYSE,2019-12-31,30,131.53,30,P,0.252804,-0.0
92,92,93,V,NYSE,2019-12-31,30,253.665,35,C,0.159888,0.0
93,93,94,V,NYSE,2019-12-31,30,122.134995,35,P,0.252804,-0.0
94,94,95,V,NYSE,2019-12-31,30,263.06,40,C,0.159888,0.0
95,95,96,V,NYSE,2019-12-31,30,112.74,40,P,0.252804,-0.0
96,96,97,V,NYSE,2019-12-31,30,272.455,45,C,0.159888,0.0
97,97,98,V,NYSE,2019-12-31,30,103.345,45,P,0.252804,0.0
98,98,99,V,NYSE,2019-12-31,30,281.84998,50,C,0.159888,0.0
99,99,100,V,NYSE,2019-12-31,30,93.95,50,P,0.252804,-0.0
100,100,101,V,NYSE,2019-12-31,30,291.245,55,C,0.159888,0.0
101,101,102,V,NYSE,2019-12-31,30,84.55499,55,P,0.252804,0.0
102,102,103,V,NYSE,2019-12-31,30,300.63998,60,C,0.159888,0.0
103,103,104,V,NYSE,2019-12-31,30,75.159996,60,P,0.252804,0.0
104,104,105,V,NYSE,2019-12-31,60,187.9,0,C,0.18355,0.524856
105,105,106,V,NYSE,2019-12-31,60,187.9,0,P,0.184315,-0.480621
106,106,107,V,NYSE,2019-12-31,60,197.29498,5,C,0.167739,0.254284
107,107,108,V,NYSE,2019-12-31,60,178.50499,5,P,0.211537,-0.256461
108,108,109,V,NYSE,2019-12-31,60,206.69,10,C,0.161078,0.080114
109,109,110,V,NYSE,2019-12-31,60,169.10999,10,P,0.240823,-0.126807
110,110,111,V,NYSE,2019-12-31,60,216.08499,15,C,0.160093,0.017945
111,111,112,V,NYSE,2019-12-31,60,159.715,15,P,0.277853,-0.065081
112,112,113,V,NYSE,2019-12-31,60,225.48,20,C,0.160093,0.002945
113,113,114,V,NYSE,2019-12-31,60,150.31999,20,P,0.32585,-0.038683
114,114,115,V,NYSE,2019-12-31,60,234.875,25,C,0.160093,0.000359
115,115,116,V,NYSE,2019-12-31,60,140.92499,25,P,0.367257,-0.021883
116,116,117,V,NYSE,2019-12-31,60,244.26999,30,C,0.160093,3.3e-05
117,117,118,V,NYSE,2019-12-31,60,131.53,30,P,0.38976,-0.009504
118,118,119,V,NYSE,2019-12-31,60,253.665,35,C,0.160093,2e-06
119,119,120,V,NYSE,2019-12-31,60,122.134995,35,P,0.401207,-0.003085
120,120,121,V,NYSE,2019-12-31,60,263.06,40,C,0.160093,0.0
121,121,122,V,NYSE,2019-12-31,60,112.74,40,P,0.401207,-0.000618
122,122,123,V,NYSE,2019-12-31,60,272.455,45,C,0.160093,0.0
123,123,124,V,NYSE,2019-12-31,60,103.345,45,P,0.401207,-8.3e-05
124,124,125,V,NYSE,2019-12-31,60,281.84998,50,C,0.160093,0.0
125,125,126,V,NYSE,2019-12-31,60,93.95,50,P,0.401207,-7e-06
126,126,127,V,NYSE,2019-12-31,60,291.245,55,C,0.160093,0.0
127,127,128,V,NYSE,2019-12-31,60,84.55499,55,P,0.401207,-0.0
128,128,129,V,NYSE,2019-12-31,60,300.63998,60,C,0.160093,0.0
129,129,130,V,NYSE,2019-12-31,60,75.159996,60,P,0.401207,-0.0
130,130,131,V,NYSE,2019-12-31,90,187.9,0,C,0.185075,0.531943
131,131,132,V,NYSE,2019-12-31,90,187.9,0,P,0.189119,-0.473782
132,132,133,V,NYSE,2019-12-31,90,197.29498,5,C,0.172258,0.311433
133,133,134,V,NYSE,2019-12-31,90,178.50499,5,P,0.209946,-0.285233
134,134,135,V,NYSE,2019-12-31,90,206.69,10,C,0.163789,0.137361
135,135,136,V,NYSE,2019-12-31,90,169.10999,10,P,0.233946,-0.161232
136,136,137,V,NYSE,2019-12-31,90,216.08499,15,C,0.160047,0.046576
137,137,138,V,NYSE,2019-12-31,90,159.715,15,P,0.263594,-0.091661
138,138,139,V,NYSE,2019-12-31,90,225.48,20,C,0.159372,0.013066
