,AMZN,GOOGL,TSLA,NVDA,AAPL,MSFT,NFLX,META,CRM,ORCL,JPM,WFC,BAC,MS,C,GS,JNJ,PFE,UNH,KO,PG,PEP,WMT,HD,BA,CAT,GE,XOM,CVX,V
AMZN,1.0,0.7346327567933997,0.6461862715497082,0.8113263998050518,0.7725215852316457,0.7693141110525707,0.48675736123424757,0.8883333788885411,0.7916203286307744,0.6433390449215318,0.7679960817095163,0.7365678440660103,0.7444682501017692,0.8315915331318804,0.7851580429748556,0.7921097374134803,-0.059795440857067575,0.36285963201946597,0.0657119586053666,-0.06641396356356052,0.10186385729328937,0.18751340093513663,0.514344654219183,0.6013155695208496,0.7365849748854528,0.8084665738981371,0.6424224920271846,0.5293436471735232,0.5839251932568702,0.5711725597406774
GOOGL,0.7346327567933997,1.0,0.5897859443469642,0.6833928736478386,0.6160147883277547,0.6797113922145095,0.4423045015809474,0.698535406937551,0.5977741907579144,0.5101785650532936,0.6296569846963241,0.5593340044314965,0.5373341077556828,0.6639908197310986,0.5783900609065431,0.6524271499520659,-0.08570042893426626,0.24020103799553544,0.06797341669663165,0.036111031430850475,0.12213206624258025,0.11688608112678459,0.4209841806065575,0.42523997618458204,0.598710021834307,0.6616980439583438,0.564469834032969,0.40468805967420723,0.44013996580925197,0.48759448823155477
TSLA,0.6461862715497082,0.5897859443469642,1.0,0.7079593158891347,0.6599529468359641,0.5993249873127144,0.46128449689114875,0.6664362368080456,0.5566587081095465,0.5535169980270518,0.6305937739248633,0.5910563065311931,0.553023933682344,0.6328826454565645,0.5760783293200681,0.6571611171053073,0.0017424801857882962,0.3652482609303433,-0.02184078695589797,0.11582296163157065,0.26883610494682747,0.2478576095284732,0.4873264699537202,0.5139978458615341,0.6046593366581526,0.6743285270500883,0.5748235759607613,0.48763211403094414,0.5362261175837735,0.4950056770437537
NVDA,0.8113263998050518,0.6833928736478386,0.7079593158891347,1.0,0.7261046010254705,0.7841637204686244,0.5591115325479703,0.8399655732557102,0.7480623695374566,0.6662648797002012,0.7418767788119223,0.7158521903466608,0.6952710833442165,0.8190752232298503,0.7507264178519606,0.7791125906142637,-0.07366039093484257,0.36406354154285636,0.02264502830617996,0.007976510662011518,0.1401217407102406,0.17923757198211476,0.5497420955402396,0.5363007301918971,0.6724610000651663,0.7571649380039001,0.6856477014706405,0.46854849470067894,0.5611184973583733,0.5927164913575204
AAPL,0.7725215852316457,0.6160147883277547,0.6599529468359641,0.7261046010254705,1.0,0.6903548335765418,0.5052550728029115,0.7140161514801792,0.6906308144297938,0.6145241506230305,0.760319797227855,0.7288645597944091,0.7308431538710474,0.7957860287965722,0.7646626962180325,0.8237461340643111,0.10815726601543979,0.5069186439875689,-0.03541270061266181,0.1652371313737539,0.37984125026677146,0.3991947317402298,0.6530987511155398,0.7012680393118039,0.6954788320933468,0.8282564137561557,0.6623478269776112,0.6627988171475864,0.6918194350558688,0.6515597102081087
MSFT,0.7693141110525707,0.6797113922145095,0.5993249873127144,0.7841637204686244,0.6903548335765418,1.0,0.5807399367813054,0.809540415510447,0.7222667384632784,0.6777323952110045,0.6843813179511279,0.6187974411915104,0.5821642504043203,0.7288658973850541,0.6372883707175224,0.7170655266090881,-0.016812328144907542,0.31825676410470705,0.11924905371419951,0.06988899086045654,0.17718463302449614,0.17604594876126736,0.5745453119737415,0.5223943952251768,0.5891330399740943,0.7353589344470581,0.6866280406781003,0.40285884380458875,0.4888554928717493,0.5832110476676068
NFLX,0.48675736123424757,0.4423045015809474,0.46128449689114875,0.5591115325479703,0.5052550728029115,0.5807399367813054,1.0,0.5680113500476247,0.6261648403247022,0.47065408073533105,0.5722743631806141,0.5858671423048242,0.564747013494553,0.6297393534637649,0.5733843494188018,0.6416348056412678,0.09074643077627774,0.2493498152679284,-0.10212135128362218,0.2635502999782308,0.14032623831351917,0.08304469083160544,0.5342485612248131,0.33474041441546765,0.5575209348935252,0.5173354202671235,0.7404394009541988,0.33062439200339994,0.3589395252857697,0.6006262793504724
META,0.8883333788885411,0.698535406937551,0.6664362368080456,0.8399655732557102,0.7140161514801792,0.809540415510447,0.5680113500476247,1.0,0.7970898694259873,0.6578660332361015,0.7543175522915944,0.7391271429359579,0.701083990576621,0.8094894825799274,0.7678788973373567,0.7870753512393643,-0.09042780653146831,0.32154660563136295,0.01967391328619566,-0.02046239618843544,0.10725995617673635,0.18746029828270863,0.5432075735871553,0.588120114633135,0.6965251571586533,0.7999541898617017,0.7026229737871112,0.4438379220910984,0.5583640834832829,0.6012028202058185
CRM,0.7916203286307744,0.5977741907579144,0.5566587081095465,0.7480623695374566,0.6906308144297938,0.7222667384632784,0.6261648403247022,0.7970898694259873,1.0,0.6289072828539158,0.7209659262827031,0.7496836258994615,0.717264019440443,0.8051608357591534,0.76956840496727,0.7892304885118229,0.012583734271020436,0.38579747131318215,0.10003339759231519,0.040763192853208514,0.1248834258299038,0.1520040683810956,0.5023843398108163,0.5938903187911402,0.6369436335414413,0.7619774799157234,0.6983255259726815,0.4398443445347515,0.5352759265189274,0.6774759730793354
ORCL,0.6433390449215318,0.5101785650532936,0.5535169980270518,0.6662648797002012,0.6145241506230305,0.6777323952110045,0.47065408073533105,0.6578660332361015,0.6289072828539158,1.0,0.5713682962123113,0.5686494204883196,0.5776370590309609,0.6574599549016771,0.5950340171665777,0.6656926363558332,0.07158337961697978,0.4021806633637438,0.060402839672326604,0.042133059539106635,0.11220292950985228,0.2660381603679753,0.43585206496779705,0.4720490110111647,0.429712088280923,0.6754262190553242,0.4924691846197651,0.44513494148291854,0.5145310683329688,0.42743591981940643
